time,Binance,Bitfinex,Coinbase,Bitflyer,Bittrex,Kraken,BitMEX
2019-07-10,2238014854.9157143,452466107.7664284,595938366.1592858,142513376.76500005,71990111.39071429,342189078.1949999,2623287432.475003
2019-07-11,2106306429.7335713,411502184.427857,546610316.4107144,134105933.56571433,67565943.80428572,315275431.9699999,2578774884.3607173
2019-07-12,2036639101.4671426,381092420.10857135,516194076.43,126590612.03000005,65370570.03142857,298267512.3892857,2521616168.852146
2019-07-13,1942747205.3049998,370681340.5242856,497863990.73785716,122789703.93928576,63998386.48857142,289108343.2078571,2499806469.4078603
2019-07-14,1894023221.547857,374734386.41714275,494799631.2214285,122604678.80785717,64194201.26142856,283471063.3035714,2497416915.640003
2019-07-15,1850211939.6000001,371007774.07999986,489022254.19142854,120537355.56571433,63023211.76142856,278290557.5142857,2503433055.1207175
2019-07-16,1795298654.2150002,370476802.39071417,482423079.10785717,117859012.58142862,61933745.637142844,273743231.64428574,2476112642.049289
2019-07-17,1774184688.9150002,368012965.0542856,482367267.86214286,115893382.19285718,60664514.98571427,269144342.04,2451290511.1778603
2019-07-18,1791653298.4342859,375880851.0621427,496158940.2678571,118194543.08785717,60273739.426428564,276936153.37571436,2460085780.6514316
2019-07-19,1777994933.3428574,374550207.40499985,494564886.6335713,118805660.78500004,58358854.23285713,275453988.7578572,2432510343.1871457
2019-07-20,1776227992.4557145,376775811.71357137,499019083.2257142,120042730.99500003,58592664.34071428,277586354.2571429,2407865794.11786
2019-07-21,1759019833.4557145,375955276.35214275,496856067.79571426,119794921.14928576,58334788.06214286,277157704.36214286,2386507824.503574
2019-07-22,1720995485.2357144,365555626.4428571,487351944.50857145,117042610.71714291,57389072.778571434,270124635.3964286,2344161385.912145
2019-07-23,1663918779.197143,351271766.7007142,469348927.0521428,111030405.51071434,55068460.47214287,260292390.7092857,2278467890.01286
2019-07-24,1557502174.2050002,319221203.3714285,436517458.4928571,101299318.58500005,51041193.06357144,240794953.57928568,2191865651.5592885
2019-07-25,1469972874.3192859,298550273.65928566,400531913.4,92751155.7335715,46750230.16071429,220479533.3828571,2077958882.9871452
2019-07-26,1531199353.4542859,289647762.23928565,385552963.18214285,87653246.61642864,44247994.84214287,214104529.92785713,1992161572.2657166
2019-07-27,1483622027.8678572,285594450.5364285,378695250.3921429,84868309.4035715,42993390.95500002,210729027.12285712,1925575831.1100023
2019-07-28,1411039862.7307146,266049416.05785707,355451947.0192858,79526370.64714292,40496003.719285734,202267095.05499998,1844049466.9778593
2019-07-29,1332351565.7692857,246917261.5457142,326772754.5757144,73227983.50357148,37985424.97357146,189284367.92642853,1749087010.855002
2019-07-30,1241081958.137143,219332503.35214278,289785713.522143,66122134.053571485,34929020.617142886,170685532.59571424,1670137567.4050019
2019-07-31,1158465690.6828573,200469447.05999994,262509953.6114287,58803544.15571434,32582979.840714313,157678404.4614285,1585467000.4042873
2019-08-01,1070918157.9142858,174786313.95499992,235812243.64500013,51967667.71714292,29545455.992142882,143554121.2064285,1517501134.9450016
2019-08-02,1045616319.61,167921516.3214285,228812900.51428583,47581963.40000006,28841386.42357145,139172549.14071423,1488301594.6842873
2019-08-03,1015561937.3821429,158742585.62499994,220710202.64000013,44493890.63142864,26838243.59857145,133759639.17499995,1478920929.3300016
2019-08-04,1008210536.3285714,158391777.62357137,220263425.00928587,44177701.55500007,26274808.292142875,132003009.98499994,1493813535.4742873
2019-08-05,1037023328.8392857,165104244.1778571,233144326.99571443,47693400.205714345,27139351.967857163,137640619.11714283,1554108989.0714302
